Batsman_Id,total_runs,balls_faced,boundaries,strike_rate,boundary_percentage,Player_Name_batting,Bowler_Id,total_runs_conceded,balls_bowled,economy_rate,Player_Name_bowling,all_rounder_index
245,34.0,23,4,147.82608695652172,17.391304347826086,AP Dole,245,3.0,67,0.26865671641791045,AP Dole,260.02415458937196
246,36.0,27,5,133.33333333333331,18.51851851851852,AN Ahmed,246,38.0,349,0.6532951289398281,AN Ahmed,143.2017543859649
248,21.0,23,2,91.30434782608695,8.695652173913043,DE Bollinger,248,25.0,582,0.25773195876288657,DE Bollinger,239.6521739130435
249,31.0,38,3,81.57894736842105,7.894736842105263,S Sriram,249,0.0,18,0.0,S Sriram,inf
253,225.0,201,23,111.94029850746267,11.442786069651742,MR Marsh,253,7.0,321,0.1308411214953271,MR Marsh,438.1130063965885
254,1304.0,1080,185,120.74074074074075,17.12962962962963,AJ Finch,254,0.0,43,0.0,AJ Finch,inf
255,688.0,542,79,126.93726937269372,14.575645756457565,STR Binny,255,5.0,504,0.05952380952380952,STR Binny,903.4686346863468
258,341.0,299,30,114.0468227424749,10.033444816053512,DT Christian,258,8.0,482,0.09958506224066391,DT Christian,559.1067447045708
259,50.0,53,6,94.33962264150944,11.320754716981133,RV Gomez,259,1.0,96,0.0625,RV Gomez,847.1698113207547
261,39.0,26,7,150.0,26.923076923076923,AUK Pathan,261,0.0,39,0.0,AUK Pathan,inf
266,401.0,367,42,109.26430517711172,11.444141689373296,AL Menaria,266,0.0,110,0.0,AL Menaria,inf
267,63.0,80,5,78.75,6.25,WD Parnell,267,28.0,578,0.2906574394463668,WD Parnell,211.39880952380952
275,321.0,309,33,103.88349514563106,10.679611650485436,JEC Franklin,275,8.0,155,0.3096774193548387,JEC Franklin,213.40008090614884
276,499.0,400,59,124.75,14.75,Shakib Al Hasan,276,11.0,908,0.07268722466960352,Shakib Al Hasan,750.2537878787879
280,423.0,325,49,130.15384615384616,15.076923076923077,NLTC Perera,280,19.0,705,0.16170212765957448,NLTC Perera,374.2874493927126
281,26.0,23,1,113.04347826086956,4.3478260869565215,NL McCullum,281,1.0,30,0.2,NL McCullum,306.52173913043475
283,29.0,27,4,107.40740740740742,14.814814814814813,J Syed Mohammad,283,1.0,194,0.03092783505154639,J Syed Mohammad,1670.3703703703704
284,326.0,238,41,136.9747899159664,17.22689075630252,RN ten Doeschate,284,0.0,81,0.0,RN ten Doeschate,inf
293,24.0,62,1,38.70967741935484,1.6129032258064515,S Nadeem,293,12.0,1015,0.07093596059113301,S Nadeem,724.2159498207885
296,42.0,45,4,93.33333333333333,8.88888888888889,VR Aaron,296,24.0,735,0.19591836734693877,VR Aaron,301.875
299,154.0,156,18,98.71794871794873,11.538461538461538,B Kumar,299,47.0,1680,0.16785714285714284,B Kumar,347.2313147845063
301,91.0,82,10,110.97560975609757,12.195121951219512,S Rana,301,0.0,16,0.0,S Rana,inf
305,919.0,594,132,154.7138047138047,22.22222222222222,GJ Maxwell,305,3.0,210,0.08571428571428572,GJ Maxwell,660.6902356902357
307,132.0,142,13,92.95774647887323,9.15492957746479,MN Samuels,307,0.0,201,0.0,MN Samuels,inf
309,116.0,70,17,165.71428571428572,24.285714285714285,KK Cooper,309,17.0,587,0.1737649063032368,KK Cooper,370.6022408963586
310,473.0,346,55,136.7052023121387,15.895953757225435,JP Faulkner,310,44.0,1084,0.24354243542435425,JP Faulkner,273.65563145909965
311,47.0,38,5,123.6842105263158,13.157894736842104,HV Patel,311,21.0,663,0.19004524886877827,HV Patel,324.93734335839605
313,111.0,103,16,107.76699029126213,15.53398058252427,DJ Harris,313,0.0,18,0.0,DJ Harris,inf
314,62.0,53,8,116.98113207547169,15.09433962264151,Ankit Sharma,314,1.0,357,0.01680672268907563,Ankit Sharma,3033.490566037736
315,47.0,58,4,81.03448275862068,6.896551724137931,SP Narine,315,35.0,1582,0.1327433628318584,SP Narine,417.18390804597703
316,22.0,22,1,100.0,4.545454545454546,GB Hogg,316,6.0,462,0.07792207792207792,GB Hogg,691.6666666666666
321,388.0,311,52,124.7588424437299,16.720257234726688,Azhar Mahmood,321,9.0,552,0.09782608695652174,Azhar Mahmood,573.490532332976
322,209.0,170,25,122.94117647058825,14.705882352941178,P Negi,322,8.0,433,0.11085450346420322,P Negi,512.5122549019608
323,32.0,32,4,100.0,12.5,RJ Peterson,323,0.0,48,0.0,RJ Peterson,inf
325,280.0,196,31,142.85714285714286,15.816326530612246,A Ashish Reddy,325,3.0,268,0.06716417910447761,A Ashish Reddy,815.8730158730159
328,98.0,96,12,102.08333333333333,12.5,MJ Clarke,328,0.0,66,0.0,MJ Clarke,inf
329,342.0,280,45,122.14285714285715,16.071428571428573,Gurkeerat Singh,329,0.0,78,0.0,Gurkeerat Singh,inf
334,574.0,350,85,164.0,24.285714285714285,AD Russell,334,23.0,637,0.21664050235478807,AD Russell,312.7971014492754
340,280.0,323,24,86.687306501548,7.430340557275541,GH Vihari,340,0.0,36,0.0,GH Vihari,inf
342,19.0,23,2,82.6086956521739,8.695652173913043,R Shukla,342,12.0,129,0.5581395348837209,R Shukla,130.88768115942028
347,10.0,22,0,45.45454545454545,0.0,Mohammed Shami,347,23.0,471,0.2929936305732484,Mohammed Shami,193.3794466403162
348,23.0,27,0,85.18518518518519,0.0,BMAJ Mendis,348,0.0,30,0.0,BMAJ Mendis,inf
349,51.0,52,5,98.07692307692307,9.615384615384617,R Rampaul,349,10.0,272,0.22058823529411764,R Rampaul,275.70512820512823
350,285.0,178,35,160.1123595505618,19.662921348314608,CH Morris,350,34.0,826,0.24697336561743344,CH Morris,282.50716016743775
356,153.0,135,17,113.33333333333333,12.592592592592592,R Dhawan,356,17.0,492,0.2073170731707317,R Dhawan,297.843137254902
357,131.0,140,13,93.57142857142857,9.285714285714286,MG Johnson,357,43.0,1006,0.25646123260437376,MG Johnson,241.7469545957918
358,106.0,63,19,168.25396825396825,30.158730158730158,LJ Wright,358,1.0,71,0.08450704225352113,LJ Wright,675.7936507936507
362,295.0,251,33,117.52988047808766,13.147410358565736,DJG Sammy,362,8.0,238,0.20168067226890757,DJG Sammy,306.6816069057105
363,36.0,39,3,92.3076923076923,7.6923076923076925,KW Richardson,363,6.0,317,0.11356466876971609,KW Richardson,486.4316239316239
364,61.0,53,7,115.09433962264151,13.20754716981132,MM Sharma,364,19.0,1264,0.09018987341772153,MM Sharma,611.9331347236014
367,19.0,29,1,65.51724137931035,3.4482758620689653,Sandeep Sharma,367,51.0,943,0.3244962884411453,Sandeep Sharma,186.8435880099166
370,18.0,39,1,46.15384615384615,2.564102564102564,PV Tambe,370,13.0,660,0.11818181818181818,PV Tambe,446.1538461538462
371,38.0,40,5,95.0,12.5,NM Coulter-Nile,371,29.0,397,0.4382871536523929,NM Coulter-Nile,161.58045977011494
372,379.0,284,53,133.45070422535213,18.661971830985916,CJ Anderson,372,4.0,132,0.18181818181818182,CJ Anderson,341.7253521126761
374,379.0,323,40,117.3374613003096,12.38390092879257,AR Patel,374,33.0,963,0.205607476635514,AR Patel,301.850548831973
376,42.0,46,4,91.30434782608695,8.695652173913043,JDS Neesham,376,5.0,54,0.5555555555555556,JDS Neesham,135.65217391304347
377,47.0,33,5,142.42424242424244,15.151515151515152,TG Southee,377,17.0,601,0.16971713810316139,TG Southee,365.81996434937616
378,96.0,98,10,97.95918367346938,10.204081632653061,MA Starc,378,38.0,583,0.3910806174957118,MA Starc,176.83046902971716
383,942.0,762,135,123.62204724409449,17.716535433070867,LMP Simmons,383,0.0,18,0.0,LMP Simmons,inf
385,73.0,43,11,169.7674418604651,25.581395348837212,BCJ Cutting,385,0.0,91,0.0,BCJ Cutting,inf
386,18.0,23,3,78.26086956521739,13.043478260869565,Imran Tahir,386,9.0,434,0.12442396313364056,Imran Tahir,440.98228663446054
388,14.0,27,1,51.85185185185185,3.7037037037037033,S Gopal,388,1.0,115,0.05217391304347826,S Gopal,984.2592592592594
391,38.0,32,6,118.75,18.75,JO Holder,391,20.0,219,0.547945205479452,JO Holder,150.625
394,295.0,224,31,131.69642857142858,13.839285714285715,DJ Hooda,394,2.0,169,0.07100591715976332,DJ Hooda,770.014880952381
395,18.0,31,1,58.06451612903226,3.225806451612903,Anureet Singh,395,27.0,382,0.42408376963350786,Anureet Singh,146.93349263241737
398,48.0,33,6,145.45454545454547,18.181818181818183,J Suchith,398,1.0,246,0.024390243902439025,J Suchith,2122.7272727272725
400,156.0,134,21,116.4179104477612,15.671641791044777,HH Pandya,400,5.0,203,0.14778325123152708,HH Pandya,396.54228855721396
401,127.0,94,16,135.1063829787234,17.02127659574468,D Wiese,401,9.0,279,0.1935483870967742,D Wiese,325.88652482269504
403,47.0,29,7,162.06896551724137,24.137931034482758,MJ McClenaghan,403,29.0,605,0.287603305785124,MJ McClenaghan,254.88505747126436
408,83.0,40,14,207.50000000000003,35.0,CR Brathwaite,408,12.0,142,0.5070422535211268,CR Brathwaite,202.36111111111114
409,146.0,111,17,131.53153153153156,15.315315315315313,MP Stoinis,409,9.0,138,0.391304347826087,MP Stoinis,193.54354354354354
413,237.0,127,35,186.61417322834646,27.559055118110237,KH Pandya,413,2.0,187,0.0641711229946524,KH Pandya,872.47375328084
